"Commodity-wise, Market-wise Daily Report (Weighted Average) on: 18-Mar-2026"

Market Center,Arrivals,Unit of Arrivals,Variety,Minimum Price,Maximum Price,Modal Price,Unit of Price,Grade
Commodity Group Name : Cereals
Bajra(Pearl Millet/Cumbu) (MSP: Rs. 2775.00/Quintal)
State Name : Gujarat
Amirgadh APMC,1.5,Metric Tonnes,Hybrid,2170.0,2170.0,2170.0,Rs./Quintal,FAQ
Borsad APMC,7.2,Metric Tonnes,Other,2125.0,2125.0,2125.0,Rs./Quintal,Local
Deesa APMC,84.80000000000001,Metric Tonnes,Bold,2000.0,2670.0,2375.0,Rs./Quintal,FAQ
Deesa(Bhildi) APMC,14.0,Metric Tonnes,Other,1750.0,2700.0,2250.0,Rs./Quintal,FAQ
Dehgam APMC,2.0,Metric Tonnes,Local,1950.0,2050.0,2000.0,Rs./Quintal,FAQ
Dehgam(Rekhiyal) APMC,0.4,Metric Tonnes,Other,1875.0,1975.0,1925.0,Rs./Quintal,FAQ
Dhanera APMC,12.3,Metric Tonnes,Hybrid,1975.0,3030.0,2540.0,Rs./Quintal,Local
Dhanera APMC,0.2,Metric Tonnes,Other,3240.0,3355.0,3250.0,Rs./Quintal,Local
Kalol APMC,1.0,Metric Tonnes,Other,1750.0,1900.0,1850.0,Rs./Quintal,Local
Khambhat(Grain Market) APMC,0.8,Metric Tonnes,Other,2000.0,2250.0,2125.0,Rs./Quintal,Local
Mahuva(Station Road) APMC,10.75,Metric Tonnes,Hybrid,1665.0,3000.0,2333.0,Rs./Quintal,FAQ
Mansa APMC,0.2,Metric Tonnes,Local,1700.0,2020.0,2020.0,Rs./Quintal,Local
Patan APMC,10.07,Metric Tonnes,Other,1675.0,2880.0,2800.0,Rs./Quintal,FAQ
Rajula APMC,1.1,Metric Tonnes,Local,1400.0,2645.0,2023.0,Rs./Quintal,Local
Savarkundla APMC,3.0,Metric Tonnes,Hybrid,2450.0,2950.0,2750.0,Rs./Quintal,Local
Siddhpur APMC,1.045,Metric Tonnes,Deshi,1510.0,2375.0,1942.0,Rs./Quintal,FAQ
Taleja APMC,7.74,Metric Tonnes,Local,1365.0,2780.0,2075.0,Rs./Quintal,FAQ
Thara APMC,7.0,Metric Tonnes,Other,2050.0,2625.0,2337.5,Rs./Quintal,FAQ
Thara(Shihori) APMC,0.5,Metric Tonnes,Other,2155.0,2325.0,2240.0,Rs./Quintal,FAQ
Umreth APMC,3.0,Metric Tonnes,MH-179,2050.0,2100.0,2090.0,Rs./Quintal,Non-FAQ
Visnagar APMC,3.2,Metric Tonnes,Other,1550.0,2145.0,1847.0,Rs./Quintal,Local
Total,171.8,Metric Tonnes,,,,2349.03,Rs./Quintal,
State Name : Haryana
Ateli APMC,6.5,Metric Tonnes,Other,1800.0,1890.0,1890.0,Rs./Quintal,FAQ
Total,6.5,Metric Tonnes,,,,1890.0,Rs./Quintal,
State Name : Karnataka
Bellary APMC,4.800000000000001,Metric Tonnes,Hybrid,1829.0,2475.0,2242.0,Rs./Quintal,Non-FAQ
Bijapur APMC,1.4000000000000001,Metric Tonnes,Hybrid,1976.0,1976.0,1976.0,Rs./Quintal,Local
Hungund APMC,5.0,Metric Tonnes,Local,1800.0,1800.0,1800.0,Rs./Quintal,FAQ
